42.3631 -71.065, all phase plumbing
61.2095 -149.804, golden nugget camper park
61.1879 -149.889, golden pond buffet
61.145 -149.878, golden scissors
61.084 -149.775, golden view bed & breakfast
61.2188 -149.872, golden wings auto
61.1984 -149.897, goldenhance
61.0779 -149.775, goldenview middle school
61.1423 -149.848, golder associates
61.2148 -149.892, goldman & gill
61.2217 -149.848, daniel w golds cpa
61.1803 -149.879, gonzalez marketing
61.1878 -149.867, good 2 go auto
61.1892 -149.947, good air guys
61.1541 -149.958, good karma
61.1838 -149.797, good samaritan counseling ctr
61.1901 -149.892, good to go auto
61.1148 -149.867, goodfellow brothers inc
61.163 -149.89, the cabinet works inc
61.1686 -149.892, aurora wildlife arts
61.1498 -149.878, blinds unlimited
61.1649 -149.861, smurfit stone container corp
61.147 -149.878, alaska fresh cut inc
61.1702 -149.889, northern printing co inc
61.156 -149.892, klondike photo press
61.1691 -149.889, graphicworks inc
61.1563 -149.865, acme
61.1666 -149.866, american north printers
61.1571 -149.883, printers ink
61.1501 -149.876, pyramid printing co inc
61.1571 -149.883, performance pdq inc
61.1686 -149.892, technipress printing
61.1571 -149.883, plans room llc
61.1571 -149.883, rmi inc
61.1458 -149.877, milepost
61.1608 -149.895, grizzley tan
61.1722 -149.883, arctic insulation & mfg llc
61.1558 -149.862, anderson blading & cnstr
61.1571 -149.883, plastikoil of alaska inc
61.1642 -149.895, air liquide
61.1689 -149.884, praxair
61.1469 -149.877, camai printing co
61.1702 -149.881, alaska laser prtg mailing svcs
61.1517 -149.86, radian general contracting
61.1522 -149.894, patch master
61.1571 -149.883, hoffman real estate services
61.1589 -149.881, veco alaska inc
61.1552 -149.872, arctic fence & landscaping
61.1571 -149.883, baxter inc
61.1558 -149.858, prosser construction inc
64.8371 -147.716, kitchen center
64.8371 -147.716, arctic freighters and craters
64.8371 -147.716, fairbanks truss co inc
64.8371 -147.716, alaska forestry exploration
64.8371 -147.716, alaska bird observatory
64.8371 -147.716, gelvin equine services
64.8371 -147.716, the groundskeepers
64.8371 -147.716, valley landscaping
64.8371 -147.716, northern designs
64.8371 -147.716, grassroots lawn care
64.8371 -147.716, silverado green fuel inc
64.8371 -147.716, alaska placer development inc
64.8371 -147.716, paul & company
64.8371 -147.716, flat creek mining co inc
64.8371 -147.716, hunter creek mine
64.8371 -147.716, congdon constuction
64.8371 -147.716, two street mining limited
64.8371 -147.716, farmers loop intrplnetary inds
64.8371 -147.716, fairbanks construction inc
64.8371 -147.716, alascraft inc
64.8371 -147.716, isberg country co op
64.8371 -147.716, dan donaldson construction
64.8371 -147.716, smith alaska constrction
64.8371 -147.716, ts construction inc
64.8371 -147.716, eagor enterprises
64.8371 -147.716, pioneer rentals
64.8371 -147.716, ami
64.8371 -147.716, college construction inc
64.8371 -147.716, halco enterprises inc
64.8371 -147.716, nethercot construction
64.8371 -147.716, b m maintenance & remodeling
64.8371 -147.716, seim construction
64.8371 -147.716, tolovana construction co
55.1251 -131.568, national weather svc
55.1251 -131.568, national weather svc
55.1271 -131.575, national weather svc trans
55.1271 -131.575, okonomi house ltd
55.1271 -131.575, pacific airlines
62.1651 -164.412, a s a'carsarmiut
62.0861 -163.73, alaska commercial co
62.0891 -163.725, asa'carsarmiut tribal council
62.1651 -164.412, avcp child care svc
62.0911 -163.735, azachorak fuel
62.0861 -163.73, azachorak inc
62.1651 -164.412, azachorok inc
61.8741 -162.082, city of marshall
62.1651 -164.412, city-mountain village police
62.1651 -164.412, evangelical covenant church
61.8361 -161.815, fortuna ledge coop store
61.8361 -161.815, hunters sales & rooming
62.1651 -164.412, ignatius beans school
61.8361 -161.815, immaculate heart of mary
62.0891 -163.725, lower yukon school district
61.8361 -161.815, marshall enterprises
61.8361 -161.815, marshall family svc dept
61.8361 -161.815, marshall headstart
61.8361 -161.815, marshall police dept
61.8741 -162.082, marshall school
61.8741 -162.082, marshall traditional council
61.8361 -161.815, marshall water & sewer project
61.8361 -161.815, maserculiq inc
55.1271 -131.575, port of metlakatla
55.1271 -131.575, promech air
55.1291 -131.577, r & j deli
55.1251 -131.572, richard johnson elem school
55.1281 -131.578, salvation army-metlakatla
55.1261 -131.59, scudero's bottega
55.1271 -131.575, showers of flowers
55.1271 -131.575, so-so hot sportswear
55.1271 -131.575, sol air
61.5694 -149.448, girl scouts susitna council
61.7321 -150.12, glacier air alaska
61.5531 -149.651, glacier snow cat skiing & trs
61.5984 -149.481, glad tidings full gospel
61.5855 -149.326, gladheart store
61.5844 -149.442, gmac mortgage
61.5824 -149.634, gold dust acoustics
61.5821 -149.464, golden palace
61.5901 -149.632, goldorado co
61.6141 -149.457, gone fishing
61.6141 -149.457, gone truckin
61.5856 -149.435, good shepherd lutheran church
61.5411 -149.612, goose bay elementary school
61.5848 -149.33, gospel outreach christian ctr
61.5513 -149.6, gottago boarding
61.5765 -149.407, gottschalks
61.5801 -149.461, govoni woodworking
61.6118 -149.511, goy construction inc
61.6141 -149.457, grace orthodox presbyterian
61.586 -149.553, grandpre' custom homes
61.6141 -149.457, grasshopper aviation
61.5829 -149.438, great alaska chocolate co
61.5812 -149.436, great alaska pizza co
61.5819 -149.44, great bear brewing co
61.5777 -149.412, great clips
61.5807 -149.476, great valley thrift store
61.5806 -149.441, greater wasilla chamber-commrc
61.5531 -149.628, greatland kennels
61.5832 -149.395, green acres auto sales
61.6311 -149.53, greenfield stable
61.6521 -149.92, griffin water well drilling
61.6109 -149.46, group three design
61.6571 -149.306, grouse ridge shooting grounds
61.5861 -149.303, growing sports
61.6141 -149.457, guardian home inspection
61.1377 -149.849, cheryl goodman
61.1491 -149.809, gordon & assoc
61.1201 -149.89, gordon & assocs inc
61.2031 -149.749, thomas gormley
61.2152 -149.905, gorton & logue
61.2157 -149.821, gottschalks
61.1444 -149.867, gottschalks
61.1302 -149.745, gourmet fleurs bed & breakfast
61.231 -149.874, government hill barber-style
61.2316 -149.875, government hill elementary
61.1879 -149.886, governmental coordination
61.2154 -149.892, governor's office
61.21 -149.828, roland e gower md
61.2161 -149.876, gowna construction co
61.2171 -149.9, gps aerial svc inc
61.2153 -149.882, gr eschbacher law office
61.1367 -149.942, gra f/x communications
61.1586 -149.951, grab-a-hex tan
61.1984 -149.882, grab-adab
61.1594 -149.848, grace baptist church
61.1084 -149.819, grace christian school
61.1527 -149.858, grace pentecostal church
61.0976 -149.826, grace's yarn tree
61.2116 -149.758, graceful living ii
61.1449 -149.972, graff contracting inc
61.2161 -149.876, graffiti busters hotline
61.1642 -149.885, grainger inc
61.1838 -149.897, grand lodge f & am of alaska
61.1201 -149.89, grandfamilies network project
61.0939 -149.813, grandma's house
61.2161 -149.876, grandpa's home svc
61.1829 -149.893, grandparents rights
61.2096 -149.818, grandview baptist church
61.1571 -149.883, grandville design & graphic
61.1789 -149.978, grant aviation
61.1684 -149.884, arctic glazing contractors
61.1542 -149.892, old whiskeys hefewisen
61.1464 -149.871, quantum health
61.1686 -149.892, five star insulators inc
61.1492 -149.877, excel construction inc
61.1467 -149.901, red dog masonry inc
61.1647 -149.882, universal roofing of alaska
61.1594 -149.858, rite-way roofing inc
61.1571 -149.883, denali roofing & insulation co
61.1531 -149.87, angelo j lima
61.1716 -149.868, worldwide roofing & cnstr co
61.1686 -149.893, designer carpets & division
61.1517 -149.86, heartwood construction inc
61.1658 -149.888, h a p enterprises inc
61.165 -149.893, northern concrete cutting
61.1472 -149.903, albrecht builders
61.1567 -149.862, aurora electric datatel
61.1681 -149.901, dalton nw elc & communications
61.1582 -149.907, haylor electric
61.1577 -149.864, eagle electric llc
61.1686 -149.893, samson electric inc
61.1506 -149.875, power & light inc
61.1501 -149.872, primary electric inc
61.1544 -149.86, nordine painting inc
61.154 -149.873, murphy wall covering
61.1485 -149.875, raven electric inc
61.1725 -149.896, yukon electric inc
61.1621 -149.892, central elc & communications
61.1686 -149.896, arctic refrigeration & ac
61.1571 -149.883, northwind mechanical
61.1465 -149.875, northern shtmtl fabricators
61.1571 -149.883, ch mechanical inc
64.8371 -147.716, hc contractors inc
64.8411 -147.722, vertex insulation inc
64.8411 -147.722, superior insulation inc
64.8411 -147.722, alaska independent carpenters
64.8411 -147.722, elegant electric
64.8411 -147.722, birdsall electric inc
64.8411 -147.722, alkan shelter llc
64.8411 -147.722, a m p
64.8411 -147.722, skidmore machine tool co
64.8411 -147.722, north wind a purifiers ind alp
64.8411 -147.722, northstar cable systems
64.8371 -147.716, alaska birch works
64.8371 -147.716, amstrup construction company
64.8371 -147.716, mcm roe inc
64.8371 -147.716, wheat mike
64.8371 -147.716, interior builders
64.8371 -147.716, j & l excavating inc
64.8371 -147.716, jims truck & tractor
64.8371 -147.716, living landscape inc
64.8371 -147.716, b & b excavation inc
64.8371 -147.716, central welding & fabrication
64.8371 -147.716, hansen wallpapering inc
64.8371 -147.716, a chimney sweep
64.8371 -147.716, jopa corp
64.8371 -147.716, miller properties
64.8371 -147.716, tlc general inc
64.8371 -147.716, birkholz construction inc
64.8371 -147.716, paving products inc
64.9214 -147.883, no tahoe road commission
64.8494 -147.816, alcan general inc
64.8271 -147.794, g b c inc
64.8581 -147.759, nenana lumber co inc
55.1261 -131.584, tuck-em-inn
55.1271 -131.575, us roads dept
55.1271 -131.575, village safe water
55.1271 -131.575, vincent's child care
55.1271 -131.575, visions
55.1271 -131.575, waterfall construction
55.1251 -131.572, wells fargo bank
55.1271 -131.579, william duncan memorial church
62.1651 -164.412, mountain village city office
62.1651 -164.412, mountain village clinic
62.1651 -164.412, mountain village covenant chr
62.1651 -164.412, mountain village headstart
62.1651 -164.412, mountain village library
62.1651 -164.412, mountain village maintenance
62.1651 -164.412, mountain village police dept
62.1651 -164.412, mountain village school
62.1651 -164.412, mountain village store
61.8741 -162.082, ohogamiut tribal council
62.1651 -164.412, st lawrence catholic church
61.8361 -161.815, theresa elia memorial health
62.0891 -163.725, ykhc yukon kuskokwim health co
63.0761 -155.689, 8 ball team ctr
63.0761 -155.689, a c value ctr
63.0761 -155.689, airline services inc
65.0911 -150.807, alaska transportation dept
65.0891 -149.598, assembly of god church
63.0761 -155.689, bering sea fence co
63.0761 -155.689, birch tree cafe
63.0761 -155.689, carolines kitchen & rooms
62.9491 -155.573, chase alaska outdoor adventure
62.9511 -155.576, city of mc grath
63.0761 -155.689, clark wiltz mining
63.0761 -155.689, coyle's logs & lumber
63.0761 -155.689, district court
63.0761 -155.689, dopler data designers
63.0761 -155.689, east coast construction
65.0911 -150.807, elaine m gray pls inc
63.0761 -155.689, enterprise flying inc
63.0761 -155.689, ephrem's snow removal svc
61.5776 -149.441, guys & gals hair designing
61.5846 -149.443, h & h construction inc
61.6141 -149.457, h & h enterprises
61.6521 -149.92, h & h lakeview restaurant
61.5811 -149.44, h & r block tax svc
61.4316 -149.898, h2o well drilling
61.5891 -149.3, habitat for humanity
61.5638 -149.326, hackett concrete
61.6141 -149.457, hackett's legal investigations
61.5839 -149.442, hair care specialists
61.5799 -149.484, hair effects
61.6141 -149.457, halvorson trucking co
61.5839 -149.468, hand of god church
61.5926 -149.445, hard rock designs
61.5799 -149.337, hard rok plumbing & heating
61.5781 -149.412, hardy heating inc
61.6141 -149.457, harle investments
61.5642 -149.453, harman excavating inc
61.6141 -149.457, harnar plumbing & heating
61.6141 -149.457, harold newcomb broker
61.6449 -149.444, harrington gardens b & b
61.6141 -149.457, harrisworks
61.6141 -149.457, harvest enterprises
61.6531 -149.903, hatcher pass polaris
61.5765 -149.407, headquarters custom embroidery
61.5431 -149.599, heads or nails
61.5721 -149.499, health & social svc dept
61.5817 -149.473, health & social svc dept
61.5766 -149.411, health quest therapy
61.5984 -149.481, healthy herbs shoppe
61.7321 -150.12, heart of willow medical clinic
61.7611 -149.451, heart rock gardens
61.6141 -149.457, heartpath wellness ctr
61.5703 -149.381, heartreach pregnancy ctr
61.5781 -149.662, heat source
61.6141 -149.457, heavenly herald
61.5831 -149.459, patricia r hefferan
61.2188 -149.892, grant's fine jewelry
61.1303 -149.944, graphic solutions
61.1991 -149.731, graphics com
61.1691 -149.889, graphicworks
61.1958 -149.843, graser investments
61.1965 -149.909, gratrix investment inc
61.1972 -149.91, gratrix investment inc
61.2158 -149.883, roger b graves phd
61.2085 -149.827, gray accounting & tax prep
61.2188 -149.896, gray line
61.1705 -149.883, graybar electric co
61.1601 -149.843, grayling construction corp
61.2191 -149.888, graystar pacific seafood
61.1842 -149.896, great alaska cleaning co
61.1209 -149.742, great alaska gourmet adventure
61.1112 -149.862, great alaska pizza co
61.1091 -149.862, great alaska pizza co
61.1955 -149.895, great alaska pizza co
61.2099 -149.762, great alaska pizza co
61.1393 -149.951, great alaska pizza co
61.1372 -149.835, great alaska pizza co
61.2213 -149.858, great alaska pizza co qcc
61.195 -149.914, great alaska tobacco co
61.2174 -149.888, great alaskan bowl co
61.1571 -149.883, great alaskan bush co
61.1951 -149.91, great alaskan hair co
61.1771 -149.97, great alaskan holidays mtrhme
61.2049 -149.817, great alaskan hot dog
61.1541 -149.958, great alaskan planning
61.1702 -149.899, great alaskan quilt co
61.2161 -149.876, great alaskan tours
61.1491 -149.809, great alaskan toursavers
61.1372 -149.841, great clips
61.1461 -149.885, anchorage prtctive catings inc
61.1715 -149.893, hankal construction
61.1493 -149.862, h & h sheet metal inc
61.1527 -149.858, red mountain inc
61.1648 -149.889, norcoast mechanical
61.1449 -149.903, lorenzo enterprises
61.1536 -149.892, mantech mechanical inc
61.1698 -149.869, eagle mechanical plbg & htg
61.1658 -149.87, bittner plumbing & heating
61.1715 -149.894, plumbers stamfitters local 367
61.1686 -149.892, automated control systems
61.1517 -149.864, valaska watcher
61.1666 -149.86, denali winery
61.1605 -149.873, massart co
61.1686 -149.895, paul davis restoration
61.1571 -149.883, alaska wilderness gourmet
61.159 -149.859, alaska propeller impeller repr
61.1517 -149.86, bradshaw and associates inc
61.1714 -149.881, woodway designs inc
61.1718 -149.879, arctic flooring co shop
61.1544 -149.86, drywall co the llc
61.1666 -149.866, w m lewis company llc
61.1666 -149.866, d tri co
61.1661 -149.883, hans nowka cabinet shop
61.168 -149.879, spenard plastering
61.1719 -149.894, carlton painting services inc
61.1606 -149.898, g m w fire protection inc
61.2171 -149.9, norcon inc
61.2171 -149.9, mbi corporation
61.2171 -149.9, cpf 1
61.2171 -149.9, bp
61.2171 -149.9, larkkspur graphics
64.8921 -147.759, skippy inc
64.9262 -148.107, costello custom home imprv
64.9413 -147.841, mile 329 construction company
64.8525 -147.774, interior alaska builders assn
64.8402 -147.86, pds construction inc
64.8278 -147.89, set builders inc
64.8129 -147.896, buchanan david cnstr & rentals
64.8508 -147.925, charles j perkins
64.9301 -147.92, carpenter shop
64.8389 -147.845, mammoth inc
64.8828 -147.798, timothy w childs
64.886 -147.84, larry hinzman
64.8254 -147.9, denali constructors inc
64.8276 -147.783, construction & general labors
64.8409 -148.088, keeney co
64.8612 -147.755, king quality rentals
64.8456 -147.851, polar mining inc
64.8412 -147.862, r&p appliance & repair
64.8959 -147.738, solid water
64.846 -147.825, maverick tree & bush cutting
64.9373 -147.913, primepick
64.8232 -147.779, animal house vet cli
64.8255 -147.795, arctic alaska testing labs
64.7903 -147.972, terazapira llc
64.8371 -147.881, family pet animal hospital
64.8463 -147.812, golden heart veterinary svcs
64.9366 -147.945, ravens ridge brewing company
64.8545 -147.768, pepsico
64.8271 -147.79, asbestos rmval spclsts of alsk
64.8524 -147.785, north star fencing llc
64.7918 -147.984, m & m constructors
63.0761 -155.689, fish & game dept
63.0761 -155.689, forestry dept
62.9591 -155.593, four rivers counseling svc
65.0911 -150.807, goldstream exploration
63.0761 -155.689, health & social svc dept
63.0761 -155.689, hotel mc grath bed & breakfast
62.9591 -155.593, iditarod area school district
62.9721 -156.079, ksko
63.0761 -155.689, lime village clinic
63.0761 -155.689, lime village elementary school
63.0761 -155.689, lime village powerhouse
63.0761 -155.689, lime village traditional cncl
63.0761 -155.689, magnuson airways
65.0911 -150.807, manley hot springs cmnty assn
65.0911 -150.807, manley hot springs lodge
65.1501 -150.127, manley hot springs school
65.0911 -150.807, manley land surveyors inc
65.0911 -150.807, manley trading post
65.0911 -150.807, manley village council
65.0911 -150.807, manley village council
63.0761 -155.689, mc grath assembly of god
63.0761 -155.689, mc grath capital projects
62.9481 -155.559, mc grath community library
63.0761 -155.689, mc grath health ctr
62.9601 -155.594, mc grath light & power
62.9511 -155.576, mc grath native village
63.0761 -155.689, mc grath native village cncl
63.0761 -155.689, mc grath public safety officer
63.0761 -155.689, mc grath public works dept
63.0761 -155.689, mc grath regional un ctr
62.9591 -155.593, mc grath school
62.9481 -155.559, mc grath subregional office
63.0761 -155.689, mc grath water plant
62.9601 -155.594, mc guire's tavern
62.9601 -155.594, mc guire's tavern & liquor inc
65.0891 -149.598, minto clinic
61.5871 -149.424, matt a heilala dpm
61.5543 -149.795, heirloom wood crafters
61.4548 -149.751, help center
61.6141 -149.457, herbert homes
61.5765 -149.407, heroes for sale
61.6201 -149.473, herold advertising products
61.5201 -149.528, hess builders inc
61.6141 -149.457, hi-tech homes
62.0111 -149.987, high country alaska
61.5765 -149.407, higher ground
61.6211 -149.662, highland carpentry
61.5871 -149.424, hill & llewellyn
61.6141 -149.457, hillside cabins
61.5865 -149.337, hilty's cabinets
61.5934 -149.392, his realty
61.5765 -149.407, hobbies & more
61.5818 -149.439, holiday stores
61.6141 -149.457, holland's masonry
61.6183 -149.324, holler engineering
61.6141 -149.457, hollow holly's
61.5419 -149.601, hollywood mart
61.5744 -149.417, home depot
61.5786 -149.416, home first financial
61.5793 -149.442, home maintenance repair
61.5837 -149.442, home sweet home
61.6245 -149.423, home tech
61.5729 -149.389, homespun & fancy
61.5822 -149.458, homestate mortgage co
61.555 -149.436, homestead garage
61.5531 -149.651, hood & sons pump & drilling co
61.5825 -149.429, hope community resources inc
61.6141 -149.457, hope trucking
61.5785 -149.415, horace mann insurance co
61.5691 -149.324, horace mann insurance co
61.6141 -149.457, horizon chimney repair & cln
61.1378 -149.954, great clips
61.1405 -149.865, great clips
61.1524 -149.865, great guns inc
61.1932 -149.873, great harvest bread co
61.1934 -149.884, great homes of alaska
61.1461 -149.85, great impressions dental arts
61.1985 -149.899, great land alternative med
61.131 -149.757, great land electrical contrs
61.1354 -149.964, great land svc
61.2193 -149.896, great land trust
61.2161 -149.876, great north floors
61.1852 -149.968, great northern air
61.1901 -149.892, great northern engineering
61.1806 -149.826, great northern guns inc
61.145 -149.883, great northern sea products
61.1991 -149.731, great northwest publishing co
61.1571 -149.883, great originals
61.1951 -149.906, great outdoor clothing co
61.1771 -149.97, great pacific seafoods inc
61.2095 -149.763, greater friendly temple church
61.2099 -149.867, greater friendship baptist chr
61.2161 -149.876, greatland adjusting svc
61.1891 -149.937, greatland brokerage co
61.2161 -149.876, greatland business mastery
61.1463 -149.812, greatland construction
61.2066 -149.808, greatland dental laboratory
61.1883 -149.768, greatland exploration ltd
61.1562 -149.938, greatland floor covering
61.1522 -149.877, greatland foods
61.1201 -149.89, greatland gazette
61.1774 -149.937, greatland hemophilia svc
61.2032 -149.748, greatland inspection svc
61.1771 -149.97, greatland laser
61.2171 -149.9, jeffco grounds maintenance
61.2171 -149.9, exxon
61.2171 -149.9, exxon mobile
61.2171 -149.9, b p exploration (alaska) inc
61.2171 -149.9, alaska land clearing inc
61.2171 -149.9, foxwood condominiums
61.2171 -149.9, albers mill llc
61.2171 -149.9, airglas inc
61.2171 -149.9, f atlee dodge - aircraft svcs
61.2171 -149.9, alaska dept trnsp pub fclities
61.2141 -149.864, identity inc
61.2141 -149.864, total pro services
61.2141 -149.864, marchant enterprises inc
61.2141 -149.864, alaska mechanical inc
61.2141 -149.864, tlc homes
61.2141 -149.864, aurora military housing llc
61.2141 -149.864, lees home improvement
61.2141 -149.864, mwd company
61.2141 -149.864, northern petroleum tstg & svcs
61.2141 -149.864, knox plumbing heating
61.2141 -149.864, anchorage plumbing & heating
61.2141 -149.864, alaska village services inc
61.2141 -149.864, abc tree service
61.2141 -149.864, watermark printers inc
61.2141 -149.864, earth pulse press inc
61.2141 -149.864, california seasons
61.2171 -149.9, unocal
61.2141 -149.864, kane inc
61.2141 -149.864, stonerock ice cream
61.2141 -149.864, alpine general contractors
61.2141 -149.864, johnson drilling co
61.2141 -149.864, t l c flooring
61.2141 -149.864, dons electrical
61.1991 -149.731, eds electric inc
64.8275 -147.786, wagner excavating
64.7562 -148.091, tjs land clearing inc
64.8535 -147.774, r & d environmental
64.8938 -147.786, taiga woodcraft
64.8421 -147.83, summit general contractor
64.882 -147.801, royal alaska contractors llc
64.8236 -147.782, pruhs corporation
64.861 -147.766, smrt general contractors
64.8591 -147.917, homestead drilling co inc
64.8455 -147.961, ekb enterprises
64.8367 -148.1, jamieson enterprises
64.8597 -147.902, reina properties inc
64.8458 -147.984, black diamond construction
64.8392 -148.213, old ridge wood shop
64.7771 -148.04, porter woodworks boatbuilding
64.8344 -147.86, fairbanks soap co
64.8534 -147.811, pipeline systems
64.846 -148.003, alaska window co
64.8545 -147.765, fairbanks fur tannery
64.8433 -147.825, terra alaska inc
64.8612 -147.778, polar run
64.849 -147.819, n l s industries
64.9629 -147.746, inksworks
64.8546 -147.759, alaska internet publishers
64.8445 -147.823, phone directories company
64.8583 -147.763, art venture
64.8271 -147.79, j & l service construction
64.8532 -147.761, northern protective coatings
64.8596 -147.791, holbrook cabinetry
64.8592 -147.789, industrial insulation inc
64.8421 -147.853, tom zastrows construction
64.921 -147.868, completely floored
65.0891 -149.598, minto family violence prvntn
65.0891 -149.598, minto lake view lodge
65.0891 -149.598, minto lakeview lodge police
65.0891 -149.598, minto school
65.2041 -149.495, minto senior svc
65.0891 -149.598, minto village council
63.0761 -155.689, mtnt ltd
63.0761 -155.689, mystery creek resources
65.1491 -149.347, north fork store & fuel co
63.0761 -155.689, penair
63.0761 -155.689, public safety dept
65.0891 -149.598, seth-de-ya-ah corp
63.0761 -155.689, shoppe
63.0761 -155.689, st michaels' catholic church
63.0761 -155.689, stoney river lodge inc
63.0761 -155.689, tanana air
62.9481 -155.559, tanana chiefs conference
65.0891 -149.598, tanana chiefs conference old
62.9531 -155.585, taskusko house
63.0761 -155.689, telida native village council
63.0761 -155.689, transportation dept
65.0891 -149.598, tribal family youth svc
63.0761 -155.689, uaf mc grath ctr
62.9591 -155.585, us fish & wildlife svc
62.9721 -156.079, us weather svc
65.0891 -149.598, vpso of minto
65.0911 -150.807, washeteria
65.0891 -149.598, youth opportunity group
63.0761 -155.689, yukon fuel co
65.0891 -149.598, yukon tanana mental health
65.0911 -150.807, salter & associates inc
65.0911 -150.807, redington enterprise
55.1271 -131.575, annette island packing
55.1271 -131.575, tamgas hatchery
55.1271 -131.575, marsden construction services
55.1271 -131.575, haven construction
63.0761 -155.689, bering sea fence co
62.9601 -155.594, mcgrath light and power
61.4691 -149.747, horizon landscaping svc
61.6141 -149.457, horizon north real estate
61.5811 -149.433, priscilla horner cpa
61.6134 -149.391, hot rod welding
61.5833 -149.447, hot shots creative photography
61.584 -149.443, lori houston
61.5851 -149.519, howard o'neil auto repair
61.5858 -149.348, howdie inc
61.5621 -149.456, howlin dog espresso
61.7311 -150.043, howling good barkery
61.5729 -149.444, hrc inc
61.5811 -149.45, huffman's shop
61.5858 -149.376, hughes & assoc
61.5895 -149.406, john d hunter md
61.5824 -149.448, husky electric supply
61.5531 -149.651, husky logwork
61.6223 -149.308, husky manufacturing co
61.7061 -150.004, huston's services
61.5531 -149.651, ice age arts
61.6091 -149.77, iceworm
61.6144 -149.326, idd therapy
61.3971 -149.844, iditacup
61.5874 -149.443, iditarod elementary school
61.5781 -149.443, iditarod masonry
61.5421 -149.557, iditarod trail committee inc
61.5421 -149.557, iditarod trail sled dog race
61.5698 -149.36, igloo inc
61.5755 -149.332, ihs construction inc
61.5691 -149.324, immediate care
61.6141 -149.457, independent baptist church
61.5414 -149.521, independent steel erectors
61.5823 -149.363, industrial cleaning svc
61.6186 -149.458, inks photographic images
61.6141 -149.457, innovative recreational prdcts
61.5766 -149.409, insurance mart
61.1571 -149.883, greatland records
61.1102 -149.876, greatland site maintenance
61.2131 -149.777, greatland transcription svc
61.1319 -149.788, greatland tree svc
61.1917 -149.907, greatlander bushmailer
61.1935 -149.91, gregory j grebe
61.1981 -149.887, greek corner
61.1044 -149.793, green acres of alaska
61.2075 -149.869, green connection
61.2157 -149.821, green dragon imports
61.1365 -149.971, green earth land work
61.1441 -149.808, green engineering inc
61.1901 -149.892, green party of alaska
61.2173 -149.872, green star inc
61.0989 -149.766, green valley cleaning
61.146 -149.843, green's enterprises
61.1814 -149.792, greenbriar apartments
61.2161 -149.876, greenpeace
61.1771 -149.97, greer tank inc
61.1178 -149.864, greg & kathy's barber shop
61.1858 -149.839, greg erkins realty
61.1686 -149.895, greg martin photography
61.2154 -149.89, greg oczkus law office
61.1541 -149.958, greg's enterprises
61.1081 -149.86, l b gregory
61.1892 -149.859, grendahl eye assoc
61.0629 -149.745, greyrock group
61.1171 -149.844, griffin services
61.2031 -149.749, gripmaster
61.1738 -149.846, gripworks
61.1466 -149.842, grizzly builders
61.1521 -149.919, grizzly consolidators
61.1377 -149.864, grizzly cub embroidery
61.2188 -149.892, grizzly inc
61.1991 -149.731, miles mechanical llc
61.1991 -149.731, l k painting services
61.1991 -149.731, all about plumbing and htg llc
61.1991 -149.731, house surgeons of alaska
61.1991 -149.731, daniel vannoy construction
61.1991 -149.731, energy specialists inc
61.1991 -149.731, homes in alaskan heritage
61.1991 -149.731, woodland builders inc
61.1991 -149.731, plowmasters/lawnmasters
61.1991 -149.731, sawhorse maintenance sbs inc
61.1521 -149.919, davis watterson jv
61.1521 -149.919, osage construction co
61.1521 -149.919, rand construction
61.1521 -149.919, kymco llc
61.1521 -149.919, lamco
61.1521 -149.919, s i r construction
61.1521 -149.919, bear paw renovations
61.1521 -149.919, jerrys repair/maint
61.1521 -149.919, none
61.1521 -149.919, mcn construction inc
61.1521 -149.919, goertz construction inc
61.1521 -149.919, ajs construction
61.1521 -149.919, snowman snowplowing
61.1521 -149.919, northern pilot magazine
61.1521 -149.919, bhree cycle it
61.1521 -149.919, alaska mountaintop spirits co
61.1521 -149.919, isabelle construction & excvtg
61.1521 -149.919, gunderboom inc
61.1521 -149.919, classic tile service
61.1521 -149.919, burton plumbing & heating
61.1521 -149.919, alkota plumbing & heating inc
61.1521 -149.919, h & m plumbing & heating inc
61.1521 -149.919, northwind refrigeration
61.1521 -149.919, artistic construction
64.8348 -147.829, klondike door service
64.843 -147.786, tom shawcroft construction
64.8215 -147.976, gypsum solutions ltd
64.8454 -147.855, voorhees construction concrete
64.8444 -147.842, putnams electric
64.8545 -147.769, grinnell fire protection
64.8303 -147.871, torgerson burner service
64.8246 -147.795, rockys heating service
64.8574 -147.766, vj plumbing heating
64.8459 -147.811, bud hltons thwing pmpg backhoe
64.8513 -147.809, alaska mechanical uaf mus
64.8823 -147.803, hvac inc
64.8426 -147.858, sledguard
64.8439 -147.83, fishing for gold inc
64.8481 -147.818, frontier candle co
64.813 -147.784, powerhouse signs
64.9044 -147.767, zuu designs
64.857 -147.767, sun box
64.8891 -147.851, watercolors by nikkinne
64.8536 -147.774, sign pro of fairbanks
64.8372 -147.809, expressions in glass inc
64.965 -147.749, jons machine shop
64.8583 -147.77, dd d enterprises
64.8545 -147.764, holaday-parks
64.8108 -147.781, alaska tool co inc
64.8145 -147.778, a unlimited car audio
64.8545 -147.769, simplexgrinnell lp
64.8313 -147.784, complete music services
64.8136 -147.895, william j ryan
64.8558 -147.787, alaska forest refinery inc
62.9478 -155.574, stricks general services
58.9821 -159.024, arlene franklin
60.5401 -149.152, moose pass brass
60.5401 -149.152, tern lake valley woodworks
60.5401 -149.152, peninsula excavating
60.5401 -149.152, jaffa construction inc
